Marktbereich;PHG;Modeserie;PUG;Zielgruppe;Modell;Modell;Farbkarte;Farbe;FS18;FS19;FS20;FS21
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;BLAU;steelblue;0;0;0;11
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;PINK;cassis;0;0;0;32
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;PINK;cranberry;0;0;57;53
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;PINK;crocus;0;120;3;4
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;SCHWARZ;black;0;96;237;90
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;SCHWARZ;black/black;0;0;0;280
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40258;Wo Qimsa Softshell Pants II;TÜRKIS;riviera;0;0;3;9
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40507;Wo Tremalzo Shorts II;BLAU;sailor blue;0;6;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40507;Wo Tremalzo Shorts II;GRÜN;nickel green;1;170;231;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40507;Wo Tremalzo Shorts II;PINK;crimson red;0;558;75;144
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40507;Wo Tremalzo Shorts II;SCHWARZ;black;0;1363;1216;1257
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40507;Wo Tremalzo Shorts II;TÜRKIS;alpine lake;0;76;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40507;Wo Tremalzo Shorts II;TÜRKIS;kingfisher;0;0;319;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40548;Wo Craggy Pants III;BLAU;sailor blue;0;8;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40548;Wo Craggy Pants III;GRÜN;parrot green;0;5;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40548;Wo Craggy Pants III;ROT;salsa;0;6;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40837;Wo Craggy Shorts;BLAU;eclipse;0;362;650;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40837;Wo Craggy Shorts;GRAU;pewter grey;0;25;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40837;Wo Craggy Shorts;PINK;bright pink;0;420;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40837;Wo Craggy Shorts;ROT;strawberry;0;38;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40837;Wo Craggy Shorts;SCHWARZ;phantom black;0;45;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40837;Wo Craggy Shorts;TÜRKIS;glacier;1;700;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40837;Wo Craggy Shorts;TÜRKIS;kingfisher;0;0;467;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;BLAU;eclipse;0;441;54;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;BLAU;eclipse uni;0;0;466;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;BLAU;eclipse/eclipse;0;0;0;392
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;GRÜN;nickel green;0;567;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;PINK;bright pink;0;216;4;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;PINK;cranberry;0;0;1008;151
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;ROT;red cluster;0;20;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;TÜRKIS;alpine lake;0;57;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;TÜRKIS;kingfisher;0;947;21;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;TÜRKIS;kingfisher uni;0;0;447;14
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;TÜRKIS;peacock;0;0;205;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40839;Wo Ligure Shorts;TÜRKIS;riviera;0;0;0;161
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40840;Wo Moab Shorts III;BLAU;eclipse;0;433;2;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40840;Wo Moab Shorts III;BLAU;eclipse/pink;0;0;323;11
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40840;Wo Moab Shorts III;GRÜN;nickel green;0;182;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40840;Wo Moab Shorts III;ROT;raisin;0;2;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40840;Wo Moab Shorts III;TÜRKIS;alpine lake;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40840;Wo Moab Shorts III;TÜRKIS;kingfisher;0;412;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40840;Wo Moab Shorts III;TÜRKIS;kingfisher uni;0;0;428;4
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40840;Wo Moab Shorts III;TÜRKIS;peacock;0;0;211;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40841;Wo Downieville Shorts;BLAU;crystal blue;0;152;1;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40841;Wo Downieville Shorts;BLAU;sailor blue;0;13;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40841;Wo Downieville Shorts;PINK;crimson red;0;155;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40841;Wo Downieville Shorts;ROT;strawberry;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40841;Wo Downieville Shorts;SCHWARZ;black;0;5;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40841;Wo Downieville Shorts;SCHWARZ;black uni;0;412;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;40875;Wo Bike Pro Innershorts;SCHWARZ;black;0;25;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41303;Wo Green Core Tech Shorts;GELB;duff yellow;0;295;449;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41434;Wo Ledro Shorts;BLAU;eclipse;0;3277;4079;22
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41434;Wo Ledro Shorts;BLAU;eclipse/eclipse;0;0;0;4074
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41434;Wo Ledro Shorts;PINK;crimson red;0;0;0;1960
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41434;Wo Ledro Shorts;ROT;magma;0;724;88;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41434;Wo Ledro Shorts;ROT;mars red;0;0;0;236
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41434;Wo Ledro Shorts;SCHWARZ;black;0;1842;2168;2979
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41434;Wo Ledro Shorts;TÜRKIS;glacier;0;164;407;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41434;Wo Ledro Shorts;TÜRKIS;peacock;0;0;748;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41439;Wo eMoab Shorts;BLAU;eclipse;0;453;493;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41439;Wo eMoab Shorts;SCHWARZ;black;0;192;444;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41700;Wo SQlab LesSeam Tights;BLAU;eclipse;0;0;24;10
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41794;Wo SQlab LesSeam Shorts;BLAU;eclipse;0;0;346;304
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41794;Wo SQlab LesSeam Shorts;PINK;crimson red;0;273;4;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41794;Wo SQlab LesSeam Shorts;SCHWARZ;black;0;693;375;529
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41921;Wo Altissimi Shorts;BLAU;eclipse;0;0;1813;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41921;Wo Altissimi Shorts;BLAU;eclipse uni;0;0;0;2
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41921;Wo Altissimi Shorts;BLAU;eclipse/eclipse;0;0;0;1453
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41921;Wo Altissimi Shorts;GRÜN;may green;0;0;104;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41921;Wo Altissimi Shorts;PINK;crimson red;0;0;0;511
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41921;Wo Altissimi Shorts;SCHWARZ;black;0;0;0;1015
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41921;Wo Altissimi Shorts;TÜRKIS;kingfisher;0;0;683;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41922;Wo Altissimo Shorts II;BLAU;icicle;0;0;391;30
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41922;Wo Altissimo Shorts II;BLAU;steelblue;0;0;0;369
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41922;Wo Altissimo Shorts II;PINK;cranberry;0;0;226;1
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41922;Wo Altissimo Shorts II;SCHWARZ;black;0;0;0;248
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41922;Wo Altissimo Shorts II;TÜRKIS;peacock;0;0;615;1055
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41923;Wo Qimsa Shorts;BLAU;steelblue;0;0;0;559
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41923;Wo Qimsa Shorts;PINK;cranberry;0;0;1077;5
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41923;Wo Qimsa Shorts;PINK;crimson red;0;0;0;589
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41923;Wo Qimsa Shorts;SCHWARZ;black;0;0;992;755
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;41923;Wo Qimsa Shorts;TÜRKIS;kingfisher;0;0;400;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;42341;Wo Moab Shorts IV;BLAU;steelblue;0;0;0;314
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;42341;Wo Moab Shorts IV;PINK;crimson red;0;0;0;173
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Damen;42341;Wo Moab Shorts IV;SCHWARZ;black;0;0;0;363
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5503;Me Garbanzo Shorts;TÜRKIS;neptune;0;2;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5693;Me Brand Shorts;SCHWARZ;black;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;BLAU;icicle;0;0;243;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;BLAU;steelblue;0;0;0;73
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;BLAU;ultramarine;0;0;0;30
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;GRÜN;chute green;0;101;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;GRÜN;dusty forest;0;0;0;16
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;GRÜN;pistachio;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;ORANGE;paprika;0;181;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;ROT;mars red;0;0;56;79
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;SCHWARZ;black;0;139;294;57
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;5723;Me Virt Softshell Pants II;SCHWARZ;black/black;0;0;0;421
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;6635;Me Altissimo Shorts;GRÜN;parrot green;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;6635;Me Altissimo Shorts;ROT;indian red;0;3;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40279;Me Minaki Shorts II;BLAU;radiate blue;0;51;6;5
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40279;Me Minaki Shorts II;GRÜN;eucalyptus;0;21;397;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40279;Me Minaki Shorts II;SCHWARZ;black;0;453;3;3
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;BLAU;dark sea;0;0;0;80
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;BLAU;icicle;0;0;360;1
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;BLAU;radiate blue;0;177;4;1
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;BLAU;signal blue;0;0;0;133
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;GELB;neon yellow;0;0;0;28
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;GRAU;blue gray;0;0;0;47
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;GRÜN;bright green;0;1;314;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;GRÜN;chute green;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;GRÜN;vibrant green;0;0;0;129
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;ROT;mars red;0;0;0;29
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;SCHWARZ;black;0;185;346;141
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40281;Me Qimsa Softshell Pants II;SCHWARZ;black/black;0;0;0;905
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40466;Me Bike Pro Bib Innershorts;SCHWARZ;black;0;0;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40468;Me Moab Shorts II;SCHWARZ;black;0;3;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40469;Me Garbanzo Pro Shorts;BLAU;eclipse;0;6;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40469;Me Garbanzo Pro Shorts;BLAU;fjord blue;0;12;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40469;Me Garbanzo Pro Shorts;GRAU;iron;0;9;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40509;Me Tremalzo Shorts II;BLAU;fjord blue;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40509;Me Tremalzo Shorts II;GRÜN;cactus;0;6;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40509;Me Tremalzo Shorts II;GRÜN;clover;0;4;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40509;Me Tremalzo Shorts II;GRÜN;quarz;0;290;311;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40509;Me Tremalzo Shorts II;SCHWARZ;black;0;2235;631;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40531;Me Topa Shorts II;BLAU;hydro blue;0;4;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40531;Me Topa Shorts II;ROT;indian red;0;9;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40531;Me Topa Shorts II;SCHWARZ;black;0;8;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40547;Me Craggy Pants III;BLAU;eclipse;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40547;Me Craggy Pants III;BLAU;hydro blue;0;1;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40547;Me Craggy Pants III;GRÜN;parrot green;0;7;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40676;Me Morzine ZO Pants II;BLAU;radiate blue;0;93;3;1
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40676;Me Morzine ZO Pants II;SCHWARZ;black;0;72;3;3
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40842;Me Altissimo Shorts II;BLAU;eclipse;0;210;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40842;Me Altissimo Shorts II;BLAU;eclipse uni;0;860;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40842;Me Altissimo Shorts II;BLAU;radiate blue;0;55;0;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40842;Me Altissimo Shorts II;GRÜN;chute green;0;1090;4;0
Bike-Sports;Bekleidung;All-Mountain(Bike);B-Hose;Herren;40842;Me Altissimo Shorts II;SCHWARZ;black;0;955;7;0
