,Marktbereich,PHG,Modeserie,PUG,Zielgruppe,Modell,Modell.1,Farbkarte,Farbe,FS18,FS19,FS20,FS21
31,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,SCHWARZ,black,2,155,15,0
33,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40135.0,Bike Socks Mid,WEISS,white,0,0,439,29
34,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40136.0,Bike Socks Long,BLAU,eclipse,0,268,122,0
35,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40136.0,Bike Socks Long,BLAU,polar sea,0,2,0,0
36,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40136.0,Bike Socks Long,BLAU,sailor blue,1,0,0,0
37,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40136.0,Bike Socks Long,BLAU,sailor blue/white,0,107,230,0
38,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40136.0,Bike Socks Long,GRAU,pewter grey,0,94,27,0
39,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40136.0,Bike Socks Long,GRÜN,nickel green,0,212,221,0
40,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,40140.0,Shoecover Gravit II,SCHWARZ,black,0,68,32,0
41,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Accessories,Unisex,41304.0,Green Core Headband,GRÜN,eel,0,306,1,1
42,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Doppeljacke,Herren,42587.0,Me All Year Moab 3in1 Rain Jacket,BLAU,dark sea,0,0,0,7
43,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Doppeljacke,Herren,42587.0,Me All Year Moab 3in1 Rain Jacket,SCHWARZ,black,0,0,0,9
44,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,4969.0,Wo Bike Innershorts II,SCHWARZ,black,0,1,0,0
45,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5476.0,Wo Tremalzo Rain Pants,SCHWARZ,black,0,10,0,0
46,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5477.0,Wo Tremalzo Rain Shorts,GRÜN,apple,0,17,0,0
47,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5477.0,Wo Tremalzo Rain Shorts,SCHWARZ,black,0,24,0,0
48,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5480.0,Wo Topa Shorts,BLAU,polar sea,0,3,0,0
49,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5480.0,Wo Topa Shorts,PINK,grenadine,0,3,0,0
50,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5482.0,Wo Moab Shorts,ROT,claret red,0,1,0,0
51,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5482.0,Wo Moab Shorts,ROT,flame/apricot,0,6,0,0
52,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5482.0,Wo Moab Shorts,TÜRKIS,reef,0,7,0,0
53,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5485.0,Wo Tremalzo Shorts,KHAKI,cedar wood,0,2,0,0
54,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5485.0,Wo Tremalzo Shorts,SCHWARZ,black,0,1,0,0
55,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,5486.0,Wo Craggy Pants II,TÜRKIS,spring blue,0,5,0,0
56,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,BLAU,dark sea,0,0,0,52
57,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,BLAU,eclipse,0,82,38,0
58,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,BLAU,steelblue,0,0,0,11
59,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,PINK,cassis,0,0,0,32
60,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,PINK,cranberry,0,0,57,53
61,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,PINK,crocus,0,120,3,4
62,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,SCHWARZ,black,0,96,237,90
63,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,SCHWARZ,black/black,0,0,0,280
64,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40258.0,Wo Qimsa Softshell Pants II,TÜRKIS,riviera,0,0,3,9
65,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40507.0,Wo Tremalzo Shorts II,BLAU,sailor blue,0,6,0,0
66,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40507.0,Wo Tremalzo Shorts II,GRÜN,nickel green,1,170,231,0
67,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40507.0,Wo Tremalzo Shorts II,PINK,crimson red,0,558,75,144
68,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40507.0,Wo Tremalzo Shorts II,SCHWARZ,black,0,1363,1216,1257
69,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40507.0,Wo Tremalzo Shorts II,TÜRKIS,alpine lake,0,76,0,0
70,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40507.0,Wo Tremalzo Shorts II,TÜRKIS,kingfisher,0,0,319,0
71,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40548.0,Wo Craggy Pants III,BLAU,sailor blue,0,8,0,0
72,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40548.0,Wo Craggy Pants III,GRÜN,parrot green,0,5,0,0
73,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40548.0,Wo Craggy Pants III,ROT,salsa,0,6,0,0
74,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40837.0,Wo Craggy Shorts,BLAU,eclipse,0,362,650,0
75,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40837.0,Wo Craggy Shorts,GRAU,pewter grey,0,25,0,0
76,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40837.0,Wo Craggy Shorts,PINK,bright pink,0,420,0,0
77,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40837.0,Wo Craggy Shorts,ROT,strawberry,0,38,0,0
78,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40837.0,Wo Craggy Shorts,SCHWARZ,phantom black,0,45,0,0
79,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40837.0,Wo Craggy Shorts,TÜRKIS,glacier,1,700,0,0
80,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40837.0,Wo Craggy Shorts,TÜRKIS,kingfisher,0,0,467,0
81,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,BLAU,eclipse,0,441,54,0
82,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,BLAU,eclipse uni,0,0,466,0
83,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,BLAU,eclipse/eclipse,0,0,0,392
84,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,GRÜN,nickel green,0,567,0,0
85,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,PINK,bright pink,0,216,4,0
86,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,PINK,cranberry,0,0,1008,151
87,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,ROT,red cluster,0,20,0,0
88,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,TÜRKIS,alpine lake,0,57,0,0
89,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,TÜRKIS,kingfisher,0,947,21,0
90,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,TÜRKIS,kingfisher uni,0,0,447,14
91,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,TÜRKIS,peacock,0,0,205,0
92,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40839.0,Wo Ligure Shorts,TÜRKIS,riviera,0,0,0,161
93,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40840.0,Wo Moab Shorts III,BLAU,eclipse,0,433,2,0
94,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40840.0,Wo Moab Shorts III,BLAU,eclipse/pink,0,0,323,11
95,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40840.0,Wo Moab Shorts III,GRÜN,nickel green,0,182,0,0
96,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40840.0,Wo Moab Shorts III,ROT,raisin,0,2,0,0
97,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40840.0,Wo Moab Shorts III,TÜRKIS,alpine lake,0,1,0,0
98,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40840.0,Wo Moab Shorts III,TÜRKIS,kingfisher,0,412,0,0
99,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40840.0,Wo Moab Shorts III,TÜRKIS,kingfisher uni,0,0,428,4
100,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40840.0,Wo Moab Shorts III,TÜRKIS,peacock,0,0,211,0
101,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40841.0,Wo Downieville Shorts,BLAU,crystal blue,0,152,1,0
102,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40841.0,Wo Downieville Shorts,BLAU,sailor blue,0,13,0,0
103,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40841.0,Wo Downieville Shorts,PINK,crimson red,0,155,0,0
104,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40841.0,Wo Downieville Shorts,ROT,strawberry,0,1,0,0
105,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40841.0,Wo Downieville Shorts,SCHWARZ,black,0,5,0,0
106,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40841.0,Wo Downieville Shorts,SCHWARZ,black uni,0,412,0,0
107,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,40875.0,Wo Bike Pro Innershorts,SCHWARZ,black,0,25,0,0
108,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41303.0,Wo Green Core Tech Shorts,GELB,duff yellow,0,295,449,0
109,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41434.0,Wo Ledro Shorts,BLAU,eclipse,0,3277,4079,22
110,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41434.0,Wo Ledro Shorts,BLAU,eclipse/eclipse,0,0,0,4074
111,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41434.0,Wo Ledro Shorts,PINK,crimson red,0,0,0,1960
112,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41434.0,Wo Ledro Shorts,ROT,magma,0,724,88,0
113,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41434.0,Wo Ledro Shorts,ROT,mars red,0,0,0,236
114,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41434.0,Wo Ledro Shorts,SCHWARZ,black,0,1842,2168,2979
115,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41434.0,Wo Ledro Shorts,TÜRKIS,glacier,0,164,407,0
116,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41434.0,Wo Ledro Shorts,TÜRKIS,peacock,0,0,748,0
117,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41439.0,Wo eMoab Shorts,BLAU,eclipse,0,453,493,0
118,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41439.0,Wo eMoab Shorts,SCHWARZ,black,0,192,444,0
119,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41700.0,Wo SQlab LesSeam Tights,BLAU,eclipse,0,0,24,10
120,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41794.0,Wo SQlab LesSeam Shorts,BLAU,eclipse,0,0,346,304
121,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41794.0,Wo SQlab LesSeam Shorts,PINK,crimson red,0,273,4,0
122,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41794.0,Wo SQlab LesSeam Shorts,SCHWARZ,black,0,693,375,529
123,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41921.0,Wo Altissimi Shorts,BLAU,eclipse,0,0,1813,0
124,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41921.0,Wo Altissimi Shorts,BLAU,eclipse uni,0,0,0,2
125,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41921.0,Wo Altissimi Shorts,BLAU,eclipse/eclipse,0,0,0,1453
126,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41921.0,Wo Altissimi Shorts,GRÜN,may green,0,0,104,0
127,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41921.0,Wo Altissimi Shorts,PINK,crimson red,0,0,0,511
128,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41921.0,Wo Altissimi Shorts,SCHWARZ,black,0,0,0,1015
129,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41921.0,Wo Altissimi Shorts,TÜRKIS,kingfisher,0,0,683,0
130,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41922.0,Wo Altissimo Shorts II,BLAU,icicle,0,0,391,30
131,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41922.0,Wo Altissimo Shorts II,BLAU,steelblue,0,0,0,369
132,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41922.0,Wo Altissimo Shorts II,PINK,cranberry,0,0,226,1
133,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41922.0,Wo Altissimo Shorts II,SCHWARZ,black,0,0,0,248
134,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41922.0,Wo Altissimo Shorts II,TÜRKIS,peacock,0,0,615,1055
135,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41923.0,Wo Qimsa Shorts,BLAU,steelblue,0,0,0,559
136,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41923.0,Wo Qimsa Shorts,PINK,cranberry,0,0,1077,5
137,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41923.0,Wo Qimsa Shorts,PINK,crimson red,0,0,0,589
138,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41923.0,Wo Qimsa Shorts,SCHWARZ,black,0,0,992,755
139,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,41923.0,Wo Qimsa Shorts,TÜRKIS,kingfisher,0,0,400,0
140,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,42341.0,Wo Moab Shorts IV,BLAU,steelblue,0,0,0,314
141,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,42341.0,Wo Moab Shorts IV,PINK,crimson red,0,0,0,173
142,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Damen,42341.0,Wo Moab Shorts IV,SCHWARZ,black,0,0,0,363
143,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5503.0,Me Garbanzo Shorts,TÜRKIS,neptune,0,2,0,0
144,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5693.0,Me Brand Shorts,SCHWARZ,black,0,1,0,0
145,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,BLAU,icicle,0,0,243,0
146,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,BLAU,steelblue,0,0,0,73
147,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,BLAU,ultramarine,0,0,0,30
148,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,GRÜN,chute green,0,101,0,0
149,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,GRÜN,dusty forest,0,0,0,16
150,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,GRÜN,pistachio,0,1,0,0
151,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,ORANGE,paprika,0,181,0,0
152,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,ROT,mars red,0,0,56,79
153,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,SCHWARZ,black,0,139,294,57
154,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,5723.0,Me Virt Softshell Pants II,SCHWARZ,black/black,0,0,0,421
155,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,6635.0,Me Altissimo Shorts,GRÜN,parrot green,0,1,0,0
156,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,6635.0,Me Altissimo Shorts,ROT,indian red,0,3,0,0
157,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40279.0,Me Minaki Shorts II,BLAU,radiate blue,0,51,6,5
158,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40279.0,Me Minaki Shorts II,GRÜN,eucalyptus,0,21,397,0
159,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40279.0,Me Minaki Shorts II,SCHWARZ,black,0,453,3,3
160,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,BLAU,dark sea,0,0,0,80
161,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,BLAU,icicle,0,0,360,1
162,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,BLAU,radiate blue,0,177,4,1
163,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,BLAU,signal blue,0,0,0,133
164,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,GELB,neon yellow,0,0,0,28
165,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,GRAU,blue gray,0,0,0,47
166,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,GRÜN,bright green,0,1,314,0
167,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,GRÜN,chute green,0,1,0,0
168,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,GRÜN,vibrant green,0,0,0,129
169,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,ROT,mars red,0,0,0,29
170,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,SCHWARZ,black,0,185,346,141
171,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40281.0,Me Qimsa Softshell Pants II,SCHWARZ,black/black,0,0,0,905
172,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40466.0,Me Bike Pro Bib Innershorts,SCHWARZ,black,0,0,0,0
173,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40468.0,Me Moab Shorts II,SCHWARZ,black,0,3,0,0
174,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40469.0,Me Garbanzo Pro Shorts,BLAU,eclipse,0,6,0,0
175,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40469.0,Me Garbanzo Pro Shorts,BLAU,fjord blue,0,12,0,0
176,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40469.0,Me Garbanzo Pro Shorts,GRAU,iron,0,9,0,0
177,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40509.0,Me Tremalzo Shorts II,BLAU,fjord blue,0,1,0,0
178,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40509.0,Me Tremalzo Shorts II,GRÜN,cactus,0,6,0,0
179,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40509.0,Me Tremalzo Shorts II,GRÜN,clover,0,4,0,0
180,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40509.0,Me Tremalzo Shorts II,GRÜN,quarz,0,290,311,0
181,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40509.0,Me Tremalzo Shorts II,SCHWARZ,black,0,2235,631,0
182,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40531.0,Me Topa Shorts II,BLAU,hydro blue,0,4,0,0
183,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40531.0,Me Topa Shorts II,ROT,indian red,0,9,0,0
184,Bike-Sports,Bekleidung,All-Mountain(Bike),B-Hose,Herren,40531.0,Me Topa Shorts II,SCHWARZ,black,0,8,0,0
